TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|FIELD_DESCRIPTION
MINES|MINE_ID|VARCHAR2|7|Identification number assigned to the mine by MSHA.  It is a unique primary key to join to the Inspections, Mine Address, Accidents, Annual Employ/Prod and Qrtly Employ/Prod tables.
MINES|CURRENT_MINE_NAME|VARCHAR2|50|Name of the mine as designated on the Legal ID Form (LID) or Mine Information Form (MIF).
MINES|COAL_METAL_IND|VARCHAR2|1|Identifies if the mine is a Coal or Metal/Non-Metal mine.
MINES|CURRENT_MINE_TYPE|VARCHAR2|20|From the Legal ID (LID) form. The types are Facility, Surface or Underground.
MINES|CURRENT_MINE_STATUS|VARCHAR2|50|Current status of the mine.  Values are Abandoned, Abandoned and Sealed, Active, Intermittent, New Mine, NonProducing and Temporarily Idled.
MINES|CURRENT_STATUS_DT|DATE|10|Date the mine obtained the current status from the Mine Information Form (MIF).
MINES|CURRENT_CONTROLLER_ID|VARCHAR2|7|Identification number assigned by MSHA Assessments Center for a Legal Entity acting as a controller of an operator.  May contain null values if this record has a mine status of New Mine.  If it is a New Mine, this information will be entered into the system at a future date. 
MINES|CURRENT_CONTROLLER_NAME|VARCHAR2|100|Either the business name or a person's name for the Legal Entity.  May contain null values if this record has a mine status of New Mine.  If it is a New Mine, this information will be entered into the system at a future date. 
MINES|CURRENT_OPERATOR_ID|VARCHAR2|7|Identification number assigned by MSHA Assessments Center for a Legal Entity acting as an operator at a mine.  May contain null values if this record has a status of New Mine.  If it is a New Mine, this information will be entered into the system at a future date. 
MINES|CURRENT_OPERATOR_NAME|VARCHAR2|60|The latest operator name as updated by a LID (legal entity id form) or MIF (mine information form).  If the last action is a LID, it will be updated if Assessments updates the name when it is approved.  A new MIF will subsequently overwrite the mines operator name.  May contain null values if this record has a status of New Mine.  If it is a New Mine, this information will be entered into the system at a future date. 
MINES|STATE|VARCHAR2|2|State in which the mine is located.  Standard state abbreviation code.
MINES|BOM_STATE_CD|VARCHAR2|2|Bureau of Mines (BOM) assigned state codes.
MINES|FIPS_CNTY_CD|VARCHAR2|3|Federal Information Processing Standard county code.
MINES|FIPS_CNTY_NM|VARCHAR2|80|Federal Information Processing Standards (FIPS) county code name.
MINES|CONG_DIST_CD|VARCHAR2|2|The Congressional District of the state in which the mine is located. Congressional District numbers are only unique within states, so State Code and Congressional District Code should be reported together.  May contain null values.
MINES|COMPANY_TYPE|VARCHAR2|80|Unique description for each legal entity type.  Values are Corporation, Limited Liability Corporation, Other, Partnership and Sole Proprietor.  May contain null values.
MINES|CURRENT_CONTROLLER_BEGIN_DT|DATE|10|Start date of the operating period at the mine.  May contain null values until the controller if a controller id has not yet been submitted.
MINES|DISTRICT|VARCHAR2|3|The first three characters of the Coal districts and the first two characters of the Metal districts.
MINES|OFFICE_CD|VARCHAR2|5|MSHA code that identifies the office to which the mine is assigned.  This is entered on the Mine Information Form (MIF).  
MINES|OFFICE_NAME|VARCHAR2|80|The name of the office to which the mine is assigned.
MINES|ASSESS_CTRL_NO|VARCHAR2|20|The most recent Assessment Control Number for a mine determined by selecting the most recent issue date of all citations associated with a mine for all associated violations regardless of the type of violator.  The system creates the Assessment Control Number.
MINES|PRIMARY_SIC_CD|VARCHAR2|6|This is a code derived from the SIC codes to use as a primary key for the primary commodity extracted at a mine.  If it is blank, a Mine Information Form (MIF) is required from the inspector to know the true SIC code.  May contain null values.
MINES|PRIMARY_SIC|VARCHAR2|80|Description of the Standard Industrial Classification Code (SIC) code for the primary commodity at a mine.  May contain null values.
MINES|PRIMARY_SIC_CD_1|VARCHAR2|4|Standard Industrial Classification Code that identifies the primary product of the mill or mine.  May contain null values.
MINES|PRIMARY_SIC_CD_SFX|VARCHAR2|2|Suffix to the Standard Industrial Classification Code (SIC) that defines the primary commodity of the mill or mine.  May contain null values.
MINES|SECONDARY_SIC_CD|VARCHAR2|6|This is a code derived from the Standard Industrial Classification Code (SIC) codes to use as a primary key for the secondary commodity extracted at a mine.  May contain null values.
MINES|SECONDARY_SIC|VARCHAR2|80|Description of the Standard Industrial Classification Code (SIC) code for the secondary commodity at a mine.  May contain null values.
MINES|SECONDARY_SIC_CD_1|VARCHAR2|4|Standard Industrial Classification Code (SIC) that identifies the secondary product of the mill or mine.  May contain null values.
MINES|SECONDARY_SIC_CD_SFX|VARCHAR2|2|Suffix to the Standard Industrial Classification Code (SIC) that defines the secondary commodity of the mill or mine.  May contain null values.
MINES|PRIMARY_CANVASS_CD|VARCHAR2|20|Canvass code associated with the primary commodity code.  This code is also known as an industry group code.  Values are 1, 2, 5, 6, 7, 8.  
MINES|PRIMARY_CANVASS|VARCHAR2|20|Unique code abbreviation for the primary industry group code for a mine. (1) Coal(Anthracite) SIC 123100; (2) Coal(Bituminous); (5) M/NM (Sand and Gravel); (6) M/NM (Stone); (7) NonMetal; (8) Metal. May contain null values.
MINES|SECONDARY_CANVASS_CD|VARCHAR2|20|Canvass code associated with the secondary commodity code.  This code is also known as an industry group code.  Values are 1, 2, 5, 6, 7, 8.  
MINES|SECONDARY_CANVASS|VARCHAR2|20|Unique code abbreviation for the secondary industry group code for a mine.  (1) Coal(Anthracite) SIC 123100; (2) Coal(Bituminous); (5) M/NM (Sand and Gravel); (6) M/NM (Stone); (7) NonMetal; (8) Metal. May contain null values. May contain null values.
MINES|CURRENT_103I|VARCHAR2|80|This is the description of the Mine 103I Classification Code:  Hazard, Ignition or Explosion, Inspection Once Every 10-days, Inspect Once Every 15-days, Inspect Once Every 5-days, Never Had 103I Status, Removed From 103I Status.  May contain null values.
MINES|CURRENT_103I_DT|DATE|10|The date the mine entered the current 103I status.  May contain null values.
MINES|PORTABLE_OPERATION|VARCHAR2|1|Indicates whether this is a portable mine or not ('Y' or 'N').
MINES|PORTABLE_FIPS_ST_CD|VARCHAR2|2|The Federal Information Processing Standards (FIPS) state code if it is a portable mine.  May contain null values.
MINES|DAYS_PER_WEEK|NUMBER|2|Number of days per week that the mine is operational.  Entered on the Mine Information Form (MIF).
MINES|HOURS_PER_SHIFT|NUMBER|2|Number of hours per shift at the mine.  Entered on the Mine Information Form (MIF).  May contain null values.
MINES|PROD_SHIFTS_PER_DAY|NUMBER|3|Number of production shifts per 24-hour day.  Entered on the Mine Information Form (MIF).  May contain null values.
MINES|MAINT_SHIFTS_PER_DAY|NUMBER|3|Number of maintenance-only shifts per 24-hour day.  Entered on the Mine Information Form (MIF).  May contain null values.
MINES|NO_EMPLOYEES|NUMBER|5|Number of workers employed at the mine.  Entered on the Mine Information Form (MIF).  May contain null values.
MINES|PART48_TRAINING|VARCHAR2|1|Indicates whether MSHA is restricted from enforcing Part 48 training requirements ('Y' or 'N').
MINES|LONGITUDE|VARCHAR2|10|Longitude denoting the mine location shown in the following format:  XXX.XXXXXX (3.6).  May contain null values.
MINES|LATITUDE|VARCHAR2|9|Latitude denoting the mine location shown in the following format:  xx.xxxxxx (2.6).  May contain null values.
MINES|AVG_MINE_HEIGHT|NUMBER|5|Average mining height in inches.  Coal mines only.  May contain null values for Coal and Metal/Non-Metal mines.
MINES|MINE_GAS_CATEGORY_CD|VARCHAR2|20|This categorization is used by underground Metal/Non-Metal mines and the surface mills of Subcategory I-C mines (gilsonite) mines.  The purpose is to protect persons against the hazards of methane and dusts containing volatile matter.  May contain null values if this does not apply.
MINES|METHANE_LIBERATION|NUMBER|9|Methane Liberation on Section (cubic feet each 24 hrs).  May contain null values if this does not apply at the mine.
MINES|NO_PRODUCING_PITS|NUMBER|3|Number of pits that are actively producing materials at the mine location (Coal only).  May contain null values for both Coal and Metal/Non-Metal mines.
MINES|NO_NONPRODUCING_PITS|NUMBER|5|Number of pits that are not producing materials at the mine location (Coal only).  May contain null values if this does not apply at the mine.
MINES|NO_TAILING_PONDS|NUMBER|3|Number of tailing ponds (Metal/Non-Metal mines only).  May contain null values if this does not apply at the mine.
MINES|PILLAR_RECOVERY_USED|VARCHAR2|1|Indicator denoting whether or not a mine uses pillar recovery mining techniques (underground coal mines only) - ('Y' or 'N').
MINES|HIGHWALL_MINER_USED|VARCHAR2|1|Indicator denoting whether or not a mine uses a highwall miner (surface coal only) ('Y' or 'N').
MINES|MULTIPLE_PITS|VARCHAR2|1|Indicates whether there are multiple pits at the mine location ('Y' or 'N)'.
MINES|MINERS_REP_IND|VARCHAR2|1|Indicates where there is a miners' representative at the location ('Y' or 'N').
MINES|SAFETY_COMMITTEE_IND|VARCHAR2|1|Values are 'Y' or 'N'.
MINES|MILES_FROM_OFFICE|NUMBER|5|Driving distance to the mine/mill from the office responsible for conducting inspection.  Can contain zeroes.
MINES|DIRECTIONS_TO_MINE|VARCHAR2|300|Free-form description of directions on how to get to the mine.  It is input on the Legal Id Form (LID) and Mine Information Form (MIF).  May contain null values.
MINES|NEAREST_TOWN|VARCHAR2|30|Nearest town or city.  Entered on Mine Information Form (MIF).  May contain null values.
