index,MINE_ID,score
15921,3401278,inf
1292,301508,inf
20820,4105047,inf
1411,301854,inf
15998,3401804,inf
25469,5002026,inf
22957,4601437,15589.15656
4570,1102752,14320.80886
22951,4601318,12617.38977
22973,4601968,11261.83131
22955,4601433,11155.87954
5032,1202010,10659.21194
4682,1103054,9989.927451
61,100851,9940.508616
5137,1202249,9630.061185
15319,3301159,9622.754188
6166,1502709,9589.870774
126,102901,8644.231729
22956,4601436,8323.889498
5111,1202215,8190.641268
21853,4404856,8122.285425
6549,1517497,7934.302235
4550,1102632,7832.938776
22962,4601456,7761.870858
6216,1507082,7479.837093
6159,1502132,7312.833318
23085,4605437,7257.326913
17183,3607230,7087.550409
23066,4605121,7020.705449
72,101401,6957.728713
23173,4607273,6941.718724
23728,4609086,6843.007866
6229,1508079,6836.732129
67,101247,6801.059025
23330,4608436,6518.843661
4445,1100877,6471.869462
6585,1517651,6428.603626
23511,4608801,6184.548554
22969,4601816,6154.578301
6614,1517741,6086.377769
23043,4604168,6039.963406
6499,1517216,6030.296392
9955,2100820,5440.244895
23517,4608808,5405.123677
2590,503672,5392.406392
4539,1102408,5364.130209
6244,1509636,5229.129716
4686,1103058,5204.306074
23481,4608759,5082.955885
467,200024,5060.014975
17197,3607416,5050.474951
11575,2401490,4977.201561
4557,1102664,4836.845632
21978,4406759,4833.243671
6951,1518335,4802.218552
9180,2000422,4719.488499
19464,4100906,4610.637545
6243,1509571,4608.438182
23156,4607009,4600.739265
21993,4406804,4573.697081
2609,503836,4550.12779
21831,4403795,4533.160503
22936,4600007,4495.525097
6545,1517478,4493.843183
2862,504674,4489.006872
7135,1518565,4441.235747
2801,504591,4256.442435
57,100759,4241.719907
23227,4607908,4230.343081
17060,3605018,4224.498472
23074,4605252,4223.837042
5180,1202295,4220.813372
9225,2001012,4194.558799
15316,3301070,4177.104951
9957,2100831,4175.143837
23475,4608751,4166.839292
19454,4100320,4165.521037
23683,4609029,4097.51742
17080,3605466,4065.811912
23299,4608315,4043.960759
6825,1518182,3944.024516
7346,1518826,3854.09179
6566,1517587,3765.791187
22023,4406864,3746.974099
23660,4608994,3733.246704
12367,2601621,3696.631701
6479,1517044,3691.23303
478,200150,3690.248291
23767,4609136,3666.978322
7124,1518547,3659.652208
19039,4000864,3640.733659
23697,4609048,3627.706093
23787,4609163,3626.885936
21099,4202233,3616.071409
23485,4608763,3535.976041
2579,503505,3506.231531
16889,3600958,3494.320513
22947,4601271,3490.267258
4442,1100726,3456.782223
7355,1518839,3450.297148
4753,1103141,3389.311597
12452,2602246,3382.897618
23307,4608365,3364.696913
12467,2602286,3332.423061
70,101322,3312.214409
5226,1202349,3311.000568
6320,1512753,3294.020928
9995,2101600,3292.527639
6607,1517720,3262.201801
23619,4608932,3254.881663
10422,2103404,3254.271122
7480,1518991,3239.740691
6990,1518381,3193.715185
6265,1510753,3190.726316
6313,1512564,3174.782828
23268,4608194,3170.965878
7502,1519015,3170.887666
7215,1518662,3159.888862
23534,4608829,3151.161579
6986,1518376,3151.104044
7145,1518575,3146.519065
21000,4202074,3113.158999
9900,2100282,3078.925481
4792,1103189,3078.912864
6225,1507475,3049.983817
22168,4407052,3022.748635
23045,4604236,3020.550657
5341,1300095,3020.512454
7128,1518552,3003.333931
12486,2602314,2998.849771
13527,3000006,2984.855775
6157,1502085,2981.524655
23462,4608730,2978.038324
23169,4607191,2966.956847
7307,1518775,2965.875908
23708,4609060,2960.056264
23367,4608553,2903.502339
1577,400213,2901.089967
23366,4608551,2900.873331
11013,2300409,2885.957771
18582,3800305,2868.935947
22965,4601544,2816.540035
23793,4609172,2788.997421
1586,400281,2770.322342
7789,1519374,2769.269307
7154,1518589,2766.502067
13327,2902170,2744.350269
18534,3800007,2733.69855
7413,1518911,2730.150606
23580,4608884,2707.047028
23480,4608758,2705.294524
24889,4800152,2666.302382
4528,1102236,2665.420232
22063,4406929,2644.146466
20961,4201890,2638.843415
2555,503013,2636.017163
22200,4407087,2628.978734
6165,1502502,2626.866142
23400,4608625,2615.589914
23563,4608864,2560.946824
11015,2300457,2547.32546
4439,1100601,2540.939495
23730,4609091,2517.303614
23509,4608798,2500.856122
12320,2600500,2497.014664
23827,4609217,2492.596142
21929,4406444,2488.066595
6186,1504469,2482.48693
20851,4200089,2480.801026
20853,4200121,2466.095597
8824,1800748,2465.68517
477,200144,2465.581724
23374,4608570,2461.988559
6155,1502057,2457.030736
475,200137,2454.00502
10378,2103352,2442.147825
8738,1800017,2420.726487
13155,2900170,2408.613664
1761,402848,2400.437152
12630,2602512,2396.812752
4766,1103156,2395.948821
5266,1202394,2388.823485
23848,4609244,2383.520736
25094,4801646,2373.16348
7775,1519358,2361.235726
21937,4406499,2350.239487
21964,4406685,2343.319068
6495,1517165,2322.901475
23676,4609020,2321.446867
23674,4609018,2300.386069
21975,4406748,2296.843758
23574,4608878,2294.531532
12350,2601089,2288.979565
23167,4607178,2287.644471
24958,4801295,2286.427844
7202,1518647,2272.299447
11016,2300458,2272.025088
23050,4604387,2270.967932
3945,1000082,2259.393985
8088,1600358,2256.636371
1808,404075,2256.507321
10017,2102449,2252.658567
1602,400743,2240.117578
22248,4407150,2228.405044
7912,1519535,2218.773215
11022,2300542,2217.824632
13222,2901267,2215.465946
23838,4609230,2213.661955
6890,1518264,2208.908131
5797,1400412,2199.851994
15474,3303349,2198.462751
1543,400011,2186.609223
6835,1518198,2186.383272
7272,1518734,2180.507603
23489,4608772,2173.152824
23682,4609028,2173.076549
16828,3600190,2167.80588
12383,2601916,2167.519834
3451,801117,2161.94968
23601,4608909,2159.028711
23809,4609192,2157.449753
6,100011,2154.724636
14040,3003255,2154.115689
7568,1519097,2150.635736
15986,3401787,2150.257475
22074,4406947,2140.743756
16827,3600185,2140.573353
16892,3600970,2140.469599
25580,5400120,2135.902416
6345,1513936,2099.921582
6205,1505484,2098.69928
6356,1514492,2096.559926
7261,1518721,2095.87045
474,200135,2086.011945
2726,504452,2083.901231
14612,3100212,2063.422302
2492,500790,2058.359669
19183,4003143,2053.581886
6163,1502263,2048.376364
13202,2900802,2037.579854
22254,4407156,2033.829601
44,100629,2024.644076
6955,1518340,2015.313585
23463,4608735,2008.642934
11019,2300499,2007.438973
23399,4608622,2006.38408
10987,2300188,1990.229628
11611,2401879,1973.573885
13565,3000073,1961.664113
6504,1517232,1958.890808
5644,1302297,1957.296933
6505,1517234,1951.318474
23229,4607938,1929.940282
6272,1511065,1927.420226
22194,4407081,1926.608731
11573,2401467,1915.30939
7373,1518864,1915.196407
15313,3300968,1912.371567
512,200826,1905.620908
23725,4609082,1896.638864
11,100027,1893.71307
8837,1800761,1891.300628
18538,3800014,1889.091503
531,201195,1884.752092
3949,1000088,1880.316381
7423,1518924,1873.938811
12647,2602535,1871.440995
4588,1102846,1869.101616
12337,2600827,1867.827174
23314,4608384,1863.33926
5785,1400162,1861.081338
8086,1600352,1855.772193
1334,301736,1842.168561
21819,4403317,1842.167577
6206,1505485,1826.898735
20984,4202028,1819.981
8109,1600970,1815.397233
3650,900053,1814.395634
2336,405701,1811.680594
23284,4608266,1808.4632
4688,1103060,1803.361745
11517,2400338,1796.130732
6872,1518241,1790.340878
17993,3609371,1789.976425
7098,1518516,1786.370792
1575,400196,1786.028049
7304,1518771,1785.582286
18953,4000022,1784.999165
4879,1200066,1782.732855
23713,4609066,1776.048035
6236,1508357,1774.689836
23410,4608637,1771.078135
23466,4608738,1767.49894
2474,500266,1766.135073
7137,1518567,1763.774462
12522,2602374,1742.781036
22024,4406866,1741.017445
1229,300256,1737.265955
6419,1516487,1737.083986
19,100043,1734.547342
6387,1516011,1726.032622
5206,1202324,1721.993
13153,2900097,1707.733486
23445,4608704,1706.407572
4526,1102161,1699.556498
23501,4608787,1694.833853
7157,1518594,1690.581212
4826,1103232,1689.29774
7371,1518861,1687.029241
23035,4603755,1685.749053
22949,4601286,1681.91322
12475,2602299,1680.779887
21741,4400082,1680.074531
6323,1512908,1670.861057
25261,5001642,1669.693164
1230,300257,1668.954436
5771,1400034,1663.80898
23512,4608802,1653.373193
23781,4609154,1650.504928
23731,4609092,1650.12241
17960,3609326,1649.13165
11627,2401950,1649.050897
22020,4406859,1644.762978
9,100016,1638.0299
13193,2900708,1635.197379
7141,1518571,1632.638755
23136,4606578,1632.60913
22231,4407129,1628.706201
23748,4609115,1624.726695
20928,4201566,1622.139541
2221,405547,1617.551946
24890,4800154,1616.40835
2465,500037,1615.89261
21735,4400068,1608.127112
7094,1518507,1607.343125
5781,1400124,1605.196221
23032,4603444,1599.025883
